home,away,score,loc,year
South Korea , United States,1–1,"Daegu World Cup Stadium, Daegu",2002
Portugal , Poland,4–0,"Jeonju World Cup Stadium, Jeonju",2002
Portugal , South Korea,0–1,"Incheon Munhak Stadium, Incheon",2002
Poland , United States,3–1,"Daejeon World Cup Stadium, Daejeon",2002
Republic of Ireland , Cameroon,1–1,"Niigata Stadium, Niigata",2002
Germany , Saudi Arabia,8–0,"Sapporo Dome, Sapporo",2002
Germany , Republic of Ireland,1–1,"Kashima Soccer Stadium, Ibaraki",2002
Cameroon , Saudi Arabia,1–0,"Saitama Stadium, Saitama",2002
Cameroon , Germany,0–2,"Ecopa Stadium, Shizuoka",2002
Saudi Arabia , Republic of Ireland,0–3,"International Stadium Yokohama, Yokohama",2002
Argentina , Nigeria,1–0,"Kashima Soccer Stadium, Ibaraki",2002
England , Sweden,1–1,"Saitama Stadium, Saitama",2002
Sweden , Nigeria,2–1,"Wing Stadium, Kobe",2002
Argentina , England,0–1,"Sapporo Dome, Sapporo",2002
Sweden , Argentina,1–1,"Miyagi Stadium, Miyagi",2002
Nigeria , England,0–0,"Nagai Stadium, Osaka",2002
Croatia , Mexico,0–1,"Niigata Big Swan Stadium, Niigata",2002
Italy , Ecuador,2–0,"Sapporo Dome, Sapporo",2002
Italy , Croatia,1–2,"Kashima Soccer Stadium, Ibaraki",2002
Mexico , Ecuador,2–1,"Miyagi Stadium, Miyagi",2002
Mexico , Italy,1–1,"Ōita Big Eye Stadium, Ōita",2002
Ecuador , Croatia,1–0,"International Stadium Yokohama, Yokohama",2002
Japan , Belgium,2–2,"Saitama Stadium, Saitama",2002
Russia , Tunisia,2–0,"Kobe Wing Stadium, Kobe",2002
Japan , Russia,1–0,"International Stadium Yokohama, Yokohama",2002
Tunisia , Belgium,1–1,"Ōita Big Eye Stadium, Ōita",2002
Tunisia , Japan,0–2,"Nagai Stadium, Osaka",2002
Belgium , Russia,3–2,"Shizuoka Ecopa Stadium, Fukuroi, Shizuoka",2002
Germany , Paraguay,1–0,"Jeju World Cup Stadium, Seogwipo",2002
Denmark , England,0–3,"Big Swan Stadium, Niigata",2002
Sweden , Senegal,1–2 (a.e.t.),"Big Eye Stadium, Ōita",2002
Spain , Republic of Ireland,1–1 (a.e.t.),"Suwon World Cup Stadium, Suwon",2002
Mexico , United States,0–2,"Jeonju World Cup Stadium, Jeonju",2002
Brazil , Belgium,2–0,"Kobe Wing Stadium, Kobe",2002
Japan , Turkey,0–1,"Miyagi Stadium, Rifu",2002
South Korea , Italy,2–1 (a.e.t.),"Daejeon World Cup Stadium, Daejeon",2002
England , Brazil,1–2,"Stadium Ecopa, Shizuoka",2002
Germany , United States,1–0,"Munsu Cup Stadium, Ulsan",2002
Spain , South Korea,0–0 (a.e.t.),"Gwangju World Cup Stadium, Gwangju",2002
Senegal , Turkey,0–1 (a.e.t.),"Nagai Stadium, Osaka",2002
Germany , South Korea,1–0,"Seoul World Cup Stadium, Seoul",2002
Brazil , Turkey,1–0,"Saitama Stadium, Saitama",2002
South Korea , Turkey,2–3,"Daegu World Cup Stadium, Daegu",2002
Germany , Brazil,0–2,"International Stadium Yokohama, Yokohama",2002
Germany , Sweden,2–0,"FIFA World Cup Stadium, Munich",2006
Argentina , Mexico,2–1 (a.e.t.),"Zentralstadion, Leipzig",2006
England , Ecuador,1–0,"Gottlieb-Daimler-Stadion, Stuttgart",2006
Portugal , Netherlands,1–0,"Frankenstadion, Nuremberg",2006
Italy , Australia,1–0,"Fritz-Walter-Stadion, Kaiserslautern",2006
Switzerland , Ukraine,0–0 (a.e.t.),"RheinEnergieStadion, Cologne",2006
Brazil , Ghana,3–0,"Westfalenstadion, Dortmund",2006
Spain , France,1–3,"Niedersachsenstadion, Hanover",2006
Germany , Argentina,1–1 (a.e.t.),"Olympiastadion, Berlin",2006
Italy , Ukraine,3–0,"Volksparkstadion, Hamburg",2006
England , Portugal,0–0 (a.e.t.),"Arena AufSchalke, Gelsenkirchen",2006
Brazil , France,0–1,"Waldstadion, Frankfurt",2006
Germany , Italy,0–2 (a.e.t.),"Westfalenstadion, Dortmund",2006
Portugal , France,0–1,"Allianz Arena, Munich",2006
Germany , Portugal,3–1,"Gottlieb-Daimler-Stadion, Stuttgart",2006
Italy , France,1–1 (a.e.t.),"Olympiastadion, Berlin",2006
South Africa , Mexico,1–1,"Soccer City, Johannesburg",2010
Uruguay , France,0–0,"Cape Town Stadium, Cape Town",2010
South Africa , Uruguay,0–3,"Loftus Versfeld Stadium, Pretoria",2010
France , Mexico,0–2,"Peter Mokaba Stadium, Polokwane",2010
Mexico , Uruguay,0–1,"Royal Bafokeng Stadium, Rustenburg",2010
France , South Africa,1–2,"Free State Stadium, Bloemfontein",2010
South Korea , Greece,2–0,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
Argentina , Nigeria,1–0,"Ellis Park Stadium, Johannesburg",2010
Argentina , South Korea,4–1,"Soccer City, Johannesburg",2010
Greece , Nigeria,2–1,"Free State Stadium, Bloemfontein",2010
Nigeria , South Korea,2–2,"Moses Mabhida Stadium, Durban",2010
Greece , Argentina,0–2,"Peter Mokaba Stadium, Polokwane",2010
England , United States,1–1,"Royal Bafokeng Stadium, Rustenburg",2010
Algeria , Slovenia,0–1,"Peter Mokaba Stadium, Polokwane",2010
Slovenia , United States,2–2,"Ellis Park Stadium, Johannesburg",2010
England , Algeria,0–0,"Cape Town Stadium, Cape Town",2010
Slovenia , England,0–1,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
United States , Algeria,1–0,"Loftus Versfeld Stadium, Pretoria",2010
Serbia , Ghana,0–1,"Loftus Versfeld Stadium, Pretoria",2010
Germany , Australia,4–0,"Moses Mabhida Stadium, Durban",2010
Germany , Serbia,0–1,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
Ghana , Australia,1–1,"Royal Bafokeng Stadium, Rustenburg",2010
Ghana , Germany,0–1,"Soccer City, Johannesburg",2010
Australia , Serbia,2–1,"Mbombela Stadium, Nelspruit",2010
Netherlands , Denmark,2–0,"Soccer City, Johannesburg",2010
Japan , Cameroon,1–0,"Free State Stadium, Bloemfontein",2010
Netherlands , Japan,1–0,"Moses Mabhida Stadium, Durban",2010
Cameroon , Denmark,1–2,"Loftus Versfeld Stadium, Pretoria",2010
Denmark , Japan,1–3,"Royal Bafokeng Stadium, Rustenburg",2010
Cameroon , Netherlands,1–2,"Cape Town Stadium, Cape Town",2010
Italy , Paraguay,1–1,"Cape Town Stadium, Cape Town",2010
New Zealand , Slovakia,1–1,"Royal Bafokeng Stadium, Rustenburg",2010
Slovakia , Paraguay,0–2,"Free State Stadium, Bloemfontein",2010
Italy , New Zealand,1–1,"Mbombela Stadium, Nelspruit",2010
Slovakia , Italy,3–2,"Ellis Park Stadium, Johannesburg",2010
Paraguay , New Zealand,0–0,"Peter Mokaba Stadium, Polokwane",2010
